net1 X,net1 Y,net11 X,net11 Y,I0.\1  X,I0.\1  Y
4.325874911419208e-05,0.1503698762065984,4.325874911419208e-05,0.149317017907304,4.325874911419208e-05,1.494401597913039e-05
4.326874911419208e-05,0.1508694700010714,4.326874911419208e-05,0.1498125793534885,4.326874911419208e-05,1.497484670978966e-05
4.327874911419209e-05,0.1513697730339559,4.327874911419209e-05,0.1503086063298768,4.327874911419209e-05,1.504318115788156e-05
4.328874911419209e-05,0.1518707845152052,4.328874911419209e-05,0.1508055615483353,4.328874911419209e-05,1.50741555185654e-05
4.329874911419208e-05,0.1523725036536537,4.329874911419208e-05,0.1513029821106482,4.329874911419208e-05,1.514262506015593e-05
4.330874911419209e-05,0.1528749296570185,4.330874911419209e-05,0.1518013277907616,4.330874911419209e-05,1.517374270627599e-05
4.331874911419209e-05,0.1533780617319,4.331874911419209e-05,0.1523001386297824,4.331874911419209e-05,1.524234702406891e-05
4.332874911419209e-05,0.153881899083785,4.332874911419209e-05,0.1527998714502511,4.332874911419209e-05,1.527360760962765e-05
4.33387491141921e-05,0.1543864409170442,4.33387491141921e-05,0.153300069246089,4.33387491141921e-05,1.534234638536662e-05
4.334874911419209e-05,0.1548916864349384,4.334874911419209e-05,0.153801185874941,4.334874911419209e-05,1.537374956338855e-05
4.33587491141921e-05,0.1553976348396147,4.33587491141921e-05,0.1543027672970662,4.33587491141921e-05,1.544262247793908e-05
4.33687491141921e-05,0.1559042853321126,4.33687491141921e-05,0.1548052643916094,4.33687491141921e-05,1.547416790007177e-05
4.33787491141921e-05,0.1564116371123614,4.33787491141921e-05,0.1553082260988375,4.33787491141921e-05,1.554317463358295e-05
4.33887491141921e-05,0.1569196893791834,4.33887491141921e-05,0.1558121003056724,4.33887491141921e-05,1.557486195057419e-05
4.33987491141921e-05,0.1574284413302948,4.33987491141921e-05,0.1563164389461738,4.33987491141921e-05,1.564400218132557e-05
4.340874911419211e-05,0.1579378921623066,4.340874911419211e-05,0.1568216869011871,4.340874911419211e-05,1.567583104266387e-05
4.341874911419211e-05,0.1584480410707267,4.341874911419211e-05,0.1573273991124877,4.341874911419211e-05,1.574510444860145e-05
4.342874911419211e-05,0.1589588872499601,4.342874911419211e-05,0.1578340174408147,4.342874911419211e-05,1.577707450300499e-05
4.343874911419211e-05,0.1594704298933111,4.343874911419211e-05,0.1583410998497834,4.343874911419211e-05,1.584648076034293e-05
4.344874911419211e-05,0.1599826681929839,4.344874911419211e-05,0.1588490851658488,4.344874911419211e-05,1.587859165560736e-05
4.345874911419212e-05,0.1604956013400841,4.345874911419212e-05,0.1593575343886568,4.345874911419212e-05,1.594813043981759e-05
4.346874911419212e-05,0.1610092285246209,4.346874911419212e-05,0.1598668832961781,4.346874911419212e-05,1.598038182203345e-05
4.347874911419212e-05,0.1615235489355065,4.347874911419212e-05,0.1603766959383343,4.347874911419212e-05,1.605005280745635e-05
4.348874911419212e-05,0.1620385617605587,4.348874911419212e-05,0.1608874050302508,4.348874911419212e-05,1.60824443228242e-05
4.349874911419212e-05,0.1625542661865021,4.349874911419212e-05,0.1613985776865601,4.349874911419212e-05,1.615224718282077e-05
4.350874911419212e-05,0.1630706613989689,4.350874911419212e-05,0.1619106435450997,4.350874911419212e-05,1.618477847478886e-05
4.351874911419212e-05,0.1635877465825006,4.351874911419212e-05,0.1624231727996821,4.351874911419212e-05,1.625471288226017e-05
4.352874911419213e-05,0.1641055209205488,4.352874911419213e-05,0.1629365919963111,4.352874911419213e-05,1.628738359372376e-05
4.353874911419213e-05,0.1646239835954783,4.353874911419213e-05,0.1634504744225916,4.353874911419213e-05,1.635744921994029e-05
4.354874911419213e-05,0.1651431337885641,4.354874911419213e-05,0.1639652435180007,4.354874911419213e-05,1.639025899303201e-05
4.355874911419214e-05,0.1656629706799989,4.355874911419214e-05,0.1644804756786844,4.355874911419214e-05,1.646045550810761e-05
4.356874911419213e-05,0.1661834934488875,4.356874911419213e-05,0.164996591222798,4.356874911419213e-05,1.649340398375016e-05
4.357874911419213e-05,0.1667047012732548,4.357874911419213e-05,0.1655131696698923,4.357874911419213e-05,1.656373105755248e-05
